serie;mention;specialite;section
S;SVT;S;R
S;SVT;M;R
S;SVT;P;R
S;SCI;C;R
S;SCI;M;R
S;SVT;P;E
S;SVT;I;R
S;SVT;S;E
S;SCI;P;R
S;SCI;I;R
S;SVT;I;E
S;SVT;M;E
S;SCI;C;E
S;SCI;I;E
S;SCI;P;E
S;EAT;E;R
